No.;Time;Source;Destination;Protocol;Length;Info;;;;;;;;;;time 1;time 2;delay;;Delay 2;Delay 3;Jitter
86;4,487166;10.120.93.121;118.98.113.218;TCP;66;[TCP Dup ACK 83#1] 61020  >  443 [ACK] Seq=838 Ack=67777 Win=524 Len=0 SLE=69237 SRE=70697;;;;;;;;;;4,487166;4,487253;8,70E-05;;-0,001774;0,001861;0,003635
87;4,487253;10.120.93.121;118.98.113.218;TCP;54;61020  >  443 [ACK] Seq=838 Ack=70697 Win=524 Len=0;;;;;;;;;;4,487253;4,489114;0,001861;;0,001861;0;-0,001861
88;4,489114;118.98.113.218;10.120.93.121;TCP;1514;443  >  61020 [ACK] Seq=70697 Ack=838 Win=275 Len=1460 [TCP segment of a reassembled PDU];;;;;;;;;;4,489114;4,489114;0;;-0,000066;6,60E-05;0,000132
89;4,489114;118.98.113.218;10.120.93.121;TCP;1514;443  >  61020 [ACK] Seq=72157 Ack=838 Win=275 Len=1460 [TCP segment of a reassembled PDU];;;;;;;;;;4,489114;4,48918;6,60E-05;;-0,001976;0,002042;0,004018
90;4,48918;10.120.93.121;118.98.113.218;TCP;54;61020  >  443 [ACK] Seq=838 Ack=73617 Win=524 Len=0;;;;;;;;;;4,48918;4,491222;0,002042;;0,002042;0;-0,002042
91;4,491222;118.98.113.218;10.120.93.121;TLSv1.2;1514;Application Data [TCP segment of a reassembled PDU];;;;;;;;;;4,491222;4,491222;0;;-0,000067;6,70E-05;0,000134
92;4,491222;118.98.113.218;10.120.93.121;TCP;1514;443  >  61020 [ACK] Seq=75077 Ack=838 Win=275 Len=1460 [TCP segment of a reassembled PDU];;;;;;;;;;4,491222;4,491289;6,70E-05;;-0,002005;0,002072;0,004077
93;4,491289;10.120.93.121;118.98.113.218;TCP;54;61020  >  443 [ACK] Seq=838 Ack=76537 Win=524 Len=0;;;;;;;;;;4,491289;4,493361;0,002072;;0,002072;0;-0,002072
94;4,493361;118.98.113.218;10.120.93.121;TCP;1514;[TCP Previous segment not captured] 443  >  61020 [ACK] Seq=77997 Ack=838 Win=275 Len=1460 [TCP segment of a reassembled PDU];;;;;;;;;;4,493361;4,493361;0;;-0,000097;9,70E-05;0,000194
95;4,493361;118.98.113.218;10.120.93.121;TCP;1514;[TCP Out-Of-Order] 443  >  61020 [ACK] Seq=76537 Ack=838 Win=275 Len=1460 [TCP segment of a reassembled PDU];;;;;;;;;;4,493361;4,493458;9,70E-05;;7,00E-06;9,00E-05;0,000083
96;4,493458;10.120.93.121;118.98.113.218;TCP;66;[TCP Dup ACK 93#1] 61020  >  443 [ACK] Seq=838 Ack=76537 Win=524 Len=0 SLE=77997 SRE=79457;;;;;;;;;;4,493458;4,493548;9,00E-05;;-0,004269;0,004359;0,008628
97;4,493548;10.120.93.121;118.98.113.218;TCP;54;61020  >  443 [ACK] Seq=838 Ack=79457 Win=524 Len=0;;;;;;;;;;4,493548;4,497907;0,004359;;0,004359;0;-0,004359
